0,1,2,3,4
15/05/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 6.29,"£ -1,399.26"
,"PAY), ON 13-05-2024",,,
14/05/2024,CASH WITHDRAWAL AT,,£ 100.00,"£ -1,392.97"
,SANTANDER ATM SANT 50 BL,,,
,"41 1, FINCHLEY,100.00 GBP , ON",,,
,14-05-2024,,,
14/05/2024,FASTER PAYMENTS RECEIPT,£ 200.00,,"£ -1,292.97"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
14/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 7.00,"£ -1,492.97"
,"PAY), ON 13-05-2024",,,
14/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 4.15,"£ -1,485.97"
,"PAY), ON 13-05-2024",,,
13/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,481.82"
,ON 12-05-2024,,,
13/05/2024,SUMUP *BOSMAN LTD (VIA APPLE,,£ 2.00,"£ -1,475.42"
,"PAY), ON 12-05-2024",,,
13/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 4.38,"£ -1,473.42"
,"PAY), ON 12-05-2024",,,
12/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 7.65,"£ -1,469.04"
,ON 11-05-2024,,,
12/05/2024,"THIRST SOHO (VIA APPLE PAY),",,£ 25.00,"£ -1,461.39"
,ON 12-05-2024,,,
12/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 9.63,"£ -1,436.39"
,"PAY), ON 12-05-2024",,,
12/05/2024,COOTES PHARMACY LTD (VIA,,£ 19.80,"£ -1,426.76"
Date,Description,Money In,Money Out,Balance
12/05/2024,FASTER PAYMENTS RECEIPT,£ 55.00,,"£ -1,406.96"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
11/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 6.15,"£ -1,461.96"
,"PAY), ON 10-05-2024",,,
11/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 8.20,"£ -1,455.81"
,"PAY), ON 10-05-2024",,,
11/05/2024,SUMUP *DURUM OCAKBASI (VIA,,£ 15.00,"£ -1,447.61"
,"APPLE PAY), ON 10-05-2024",,,
10/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.29,"£ -1,432.61"
,"PAY), ON 10-05-2024",,,
10/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 4.95,"£ -1,430.32"
,ON 09-05-2024,,,
10/05/2024,FASTER PAYMENTS RECEIPT,£ 50.00,,"£ -1,425.37"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
10/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 12.33,"£ -1,475.37"
,"PAY), ON 09-05-2024",,,
10/05/2024,CARD PAYMENT TO PAYPAL,,£ 18.77,"£ -1,463.04"
,*UBER EATS ON 07-05-2024,,,
09/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 7.60,"£ -1,444.27"
,ON 08-05-2024,,,
09/05/2024,LINA STORES SOUTH KENS (VIA,,£ 5.00,"£ -1,436.67"
,"APPLE PAY), ON 08-05-2024",,,
09/05/2024,UNCLE TONYS TAVERNA (VIA,,£ 20.00,"£ -1,431.67"
,"APPLE PAY), ON 08-05-2024",,,
08/05/2024,CARD PAYMENT TO THREE ON,,£ 20.00,"£ -1,411.67"
Date,Description,Money In,Money Out,Balance
08/05/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 11.78,"£ -1,391.67"
,"PAY), ON 06-05-2024",,,
08/05/2024,CARD PAYMENT TO Medi Food,,£ 2.77,"£ -1,379.89"
,Centre ON 07-05-2024,,,
08/05/2024,"TINTICO (VIA APPLE PAY), ON",,£ 3.70,"£ -1,377.12"
,07-05-2024,,,
07/05/2024,"THE JOINERS (VIA APPLE PAY),",,£ 12.60,"£ -1,373.42"
,ON 06-05-2024,,,
07/05/2024,GOKYUZU RESTAURANT (VIA,,£ 14.00,"£ -1,360.82"
,"APPLE PAY), ON 06-05-2024",,,
07/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 5.40,"£ -1,346.82"
,"PAY), ON 06-05-2024",,,
07/05/2024,WILTON PATISSERIE (VIA APPLE,,£ 8.70,"£ -1,341.42"
,"PAY), ON 06-05-2024",,,
06/05/2024,BILL PAYMENT FROM MR MEHMET,£ 50.00,,"£ -1,332.72"
,"SOYLEMEZ, REFERENCE FREIND",,,
06/05/2024,BILL PAYMENT VIA FASTER,,£ 17.50,"£ -1,382.72"
,PAYMENT TO serdar tekin,,,
,"REFERENCE food , MANDATE NO",,,
,54,,,
06/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.37,"£ -1,365.22"
,"PAY), ON 06-05-2024",,,
06/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 4.95,"£ -1,361.85"
,ON 05-05-2024,,,
