Date,Description,Money in,Money out
11/08/2023,BILL PAYMENT VIA FASTER £ 10.00,0.0,10.0
11/08/2023,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
12/01/2024,"TINTICO (VIA APPLE PAY), ON £ 3.30",0.0,3.3
12/01/2024,TESCO STORES 2544 (VIA APPLE £ 4.78,0.0,4.78
12/01/2024,0,0.0,9.99
12/02/2024,"TINTICO (VIA APPLE PAY), ON £ 4.00",0.0,4.0
12/02/2024,"TINTICO (VIA APPLE PAY), ON £ 3.30",0.0,3.3
12/04/2024,MEDI FOOD CENTRE (VIA APPLE £ 2.88,0.0,2.88
12/05/2024,COOTES PHARMACY LTD (VIA £ 19.80,0.0,19.8
12/05/2024,MEDI FOOD CENTRE (VIA APPLE £ 9.63,0.0,9.63
12/05/2024,"THIRST SOHO (VIA APPLE PAY), £ 25.00",0.0,25.0
12/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 7.65",0.0,7.65
12/05/2024,0,55.0,0.0
12/06/2024,CARD PAYMENT TO PAYPAL £ 16.53,0.0,16.53
12/06/2024,0,50.0,0.0
12/06/2024,TESCO STORES 2544 (VIA APPLE £ 10.33,0.0,10.33
12/06/2024,"THIRST SOHO (VIA APPLE PAY), £ 4.40",0.0,4.4
12/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.20",0.0,3.2
12/06/2024,"MCDONALDS (VIA APPLE PAY), ON £ 6.47",0.0,6.47
12/06/2024,MEDI FOOD CENTRE (VIA APPLE £ 3.58,0.0,3.58
12/08/2023,0,0.0,18.0
12/08/2023,BILL PAYMENT VIA FASTER £ 22.00,0.0,22.0
12/08/2023,BILL PAYMENT VIA FASTER £ 25.00,0.0,25.0
12/09/2023,TRANSFER TO MR LEFTERIS £ 87.03,0.0,87.03
12/12/2023,0,60.0,0.0
13/01/2024,"TINTICO (VIA APPLE PAY), ON £ 3.00",0.0,3.0
13/01/2024,"TINTICO (VIA APPLE PAY), ON £ 11.00",0.0,11.0
13/02/2024,"STARBUCKS (VIA APPLE PAY), ON £ 2.85",0.0,2.85
13/02/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.25",0.0,4.25
13/02/2024,ZETTLE_*FINCHLEY POKE (VIA £ 8.36,0.0,8.36
13/02/2024,DICLE FOOD CENTRE (VIA APPLE £ 0.99,0.0,0.99
13/02/2024,TRUE CHICKEN LTD (VIA APPLE £ 7.99,0.0,7.99
13/04/2024,CARD PAYMENT TO TFL TRAVEL £ 1.75,0.0,1.75
13/04/2024,CARD PAYMENT TO THREE ON £ 20.00,0.0,20.0
13/04/2024,CARD PAYMENT TO THREE ON £ 20.00,0.0,20.0
13/04/2024,CARD PAYMENT TO TESCO £ 5.00,0.0,5.0
13/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
13/05/2024,SUMUP *BOSMAN LTD (VIA APPLE £ 2.00,0.0,2.0
13/05/2024,MEDI FOOD CENTRE (VIA APPLE £ 4.38,0.0,4.38
13/06/2024,LINA STORES SOUTH KENS (VIA £ 0.03,0.0,0.03
13/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.70",0.0,6.7
13/08/2023,BILL PAYMENT VIA FASTER £ 25.00,0.0,25.0
13/12/2023,0,2385.0,0.0
13/12/2023,Third party payment made via £ 200.00,0.0,200.0
13/12/2023,WITHDRAWAL 200.00 CASH AT £ 200.00,0.0,200.0
14/01/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 9.90",0.0,9.9
14/01/2024,BILL PAYMENT VIA FASTER £ 12.00,0.0,12.0
14/01/2024,TESCO STORES 2544 (VIA APPLE £ 7.65,0.0,7.65
14/02/2024,"COSTA COFFEE (VIA APPLE PAY), £ 3.95",0.0,3.95
14/02/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.50",0.0,3.5
14/02/2024,"MCDONALDS 31 (VIA APPLE PAY), £ 4.28",0.0,4.28
14/04/2024,0,605.0,0.0
14/04/2024,MEDI FOOD CENTRE (VIA APPLE £ 3.79,0.0,3.79
14/04/2024,TESCO STORES 6611 (VIA APPLE £ 4.15,0.0,4.15
14/05/2024,TESCO STORES 2544 (VIA APPLE £ 4.15,0.0,4.15
14/05/2024,TESCO STORES 2544 (VIA APPLE £ 7.00,0.0,7.0
14/05/2024,0,200.0,0.0
14/05/2024,CASH WITHDRAWAL AT £ 100.00,0.0,100.0
14/06/2024,CASH WITHDRAWAL AT £ 100.00,0.0,100.0
14/06/2024,CASH WITHDRAWAL AT £ 20.00,0.0,20.0
